instance,lb,ub
g1313.col,4,4
g1314.col,4,4
g1315.col,4,4
g1316.col,3,3
g1317.col,4,4
g1318.col,4,4
g1319.col,3,3
g1320.col,3,3
g1321.col,3,3
g1322.col,3,3
g1323.col,3,3
g1324.col,3,3
g1325.col,3,3
g1326.col,3,3
g1327.col,3,3
g1328.col,3,3
g1329.col,3,3
g1330.col,3,3
g1331.col,3,3
g1332.col,3,3
g1333.col,3,3
g1334.col,3,3
g1335.col,3,3
g1336.col,3,3
g1337.col,3,3
g1338.col,3,3
g1339.col,3,3
g1340.col,3,3
g1341.col,3,3
g1342.col,3,3
g1343.col,3,3
g1344.col,3,3
g1345.col,4,4
g1346.col,3,3
g1347.col,3,3
g1348.col,3,3
g1349.col,3,3
g1350.col,3,3
g1351.col,3,3
g1352.col,3,3
g1353.col,3,3
g1354.col,3,3
g1355.col,3,3
g1356.col,3,3
g1357.col,3,3
g1358.col,3,3
g1359.col,3,3
g1360.col,3,3
g1361.col,3,3
g1362.col,3,3
g1363.col,3,3
g1364.col,3,3
g1365.col,3,3
g1366.col,4,4
g1367.col,3,3
g1368.col,3,3
g1369.col,5,5
g1370.col,6,6
g1371.col,6,6
g1372.col,6,6
g1373.col,6,6
g1374.col,5,5
g1375.col,6,6
g1376.col,6,6
g1377.col,6,6
g1378.col,6,6
g1379.col,6,6
g1380.col,6,6
g1381.col,6,6
g1382.col,6,6
g1383.col,6,6
g1384.col,6,6
g1385.col,6,6
g1386.col,6,6
g1387.col,5,5
g1388.col,6,6
g1389.col,6,6
g1390.col,5,5
g1391.col,6,6
g1392.col,6,6
g1393.col,6,6
g1394.col,6,6
g1395.col,6,6
g1396.col,6,6
g1397.col,5,5
g1398.col,6,6
g1399.col,5,5
g1400.col,5,5
g1401.col,6,6
g1402.col,6,6
g1403.col,6,6
g1404.col,5,5
g1405.col,5,5
g1406.col,6,6
g1407.col,5,5
g1408.col,6,6
g1409.col,5,5
g1410.col,5,5
g1411.col,6,6
g1412.col,6,6
g1413.col,6,6
g1414.col,6,6
g1415.col,5,5
g1416.col,6,6
g1417.col,5,5
g1418.col,5,5
g1419.col,6,6
g1420.col,6,6
g1421.col,6,6
g1422.col,6,6
g1423.col,6,6
g1424.col,6,6
g1425.col,6,6
g1426.col,6,6
g1427.col,6,6
g1428.col,6,6
g1429.col,6,6
g1430.col,6,6
g1431.col,6,6
g1432.col,6,6
g1433.col,6,6
g1434.col,6,6
g1435.col,6,6
g1436.col,6,6
g1437.col,6,6
g1438.col,6,6
g1439.col,6,6
g1440.col,6,6
g1441.col,6,6
g1442.col,6,6
g1443.col,6,6
g1444.col,6,6
g1445.col,6,6
g1446.col,6,6
g1447.col,6,6
g1448.col,6,6
g1449.col,6,6
g1450.col,6,6
g1451.col,6,6
g1452.col,6,6
g1453.col,6,6
g1454.col,6,6
g1455.col,6,6
g1456.col,6,6
g1457.col,6,6
g1458.col,6,6
g1459.col,6,6
g1460.col,6,6
g1461.col,6,6
g1462.col,6,6
g1463.col,6,6
g1464.col,6,6
g1465.col,6,6
g1466.col,6,6
g1467.col,6,6
g1468.col,6,6
g1469.col,4,4
g1470.col,4,4
g1471.col,4,4
g1472.col,4,4
g1473.col,4,4
g1474.col,4,4
g1475.col,4,4
g1476.col,4,4
g1477.col,4,4
g1478.col,4,4
g1479.col,4,4
g1480.col,4,4
g1481.col,4,4
g1482.col,4,4
g1483.col,4,4
g1484.col,4,4
g1485.col,4,4
g1486.col,4,4
g1487.col,4,4
g1488.col,4,4
g1489.col,4,4
g1490.col,5,5
g1491.col,4,4
g1492.col,4,4
g1493.col,4,4
g1494.col,4,4
g1495.col,4,4
g1496.col,4,4
g1497.col,4,4
g1498.col,5,5
g1499.col,4,4
g1500.col,4,4
g1501.col,4,4
g1502.col,4,4
g1503.col,4,4
g1504.col,4,4
g1505.col,4,4
g1506.col,4,4
g1507.col,4,4
g1508.col,4,4
g1509.col,4,4
g1510.col,4,4
g1511.col,4,4
g1512.col,4,4
g1513.col,4,4
g1514.col,4,4
g1515.col,4,4
g1516.col,4,4
g1517.col,4,4
g1518.col,4,4
g1519.col,3,3
g1520.col,3,3
g1521.col,3,3
g1522.col,3,3
g1523.col,3,3
g1524.col,3,3
g1525.col,4,4
g1526.col,3,3
g1527.col,3,3
g1528.col,3,3
g1529.col,3,3
g1530.col,3,3
g1531.col,3,3
g1532.col,3,3
g1533.col,4,4
g1534.col,4,4
g1535.col,4,4
g1536.col,3,3
g1537.col,3,3
g1538.col,3,3
g1539.col,3,3
g1540.col,3,3
g1541.col,3,3
g1542.col,3,3
g1543.col,3,3
g1544.col,3,3
g1545.col,3,3
g1546.col,3,3
g1547.col,3,3
g1548.col,3,3
g1549.col,3,3
g1550.col,3,3
g1551.col,3,3
g1552.col,3,3
g1553.col,3,3
g1554.col,3,3
g1555.col,3,3
g1556.col,3,3
g1557.col,3,3
g1558.col,3,3
g1559.col,3,3
g1560.col,3,3
g1561.col,3,3
g1562.col,3,3
g1563.col,3,3
g1564.col,4,4
g1565.col,4,4
g1566.col,4,4
g1567.col,3,3
g1568.col,3,3
g1569.col,3,3
g1570.col,3,3
g1571.col,3,3
g1572.col,3,3
g1573.col,3,3
g1574.col,3,3
g1575.col,3,3
g1576.col,3,3
g1577.col,3,3
g1578.col,3,3
g1579.col,3,3
g1580.col,3,3
g1581.col,3,3
g1582.col,3,3
g1583.col,3,3
g1584.col,3,3
g1585.col,3,3
g1586.col,3,3
g1587.col,3,3
g1588.col,3,3
g1589.col,3,3
g1590.col,3,3
g1591.col,3,3
g1592.col,3,3
g1593.col,3,3
g1594.col,3,3
g1595.col,3,3
g1596.col,3,3
g1597.col,3,3
g1598.col,3,3
g1599.col,3,3
g1600.col,3,3
g1601.col,3,3
g1602.col,3,3
g1603.col,3,3
g1604.col,3,3
g1605.col,3,3
g1606.col,3,3
g1607.col,3,3
g1608.col,3,3
g1609.col,3,3
g1610.col,3,3
g1611.col,3,3
g1612.col,3,3
g1613.col,3,3
g1614.col,3,3
g1615.col,3,3
g1616.col,3,3
g1617.col,3,3
g1618.col,3,3
g1619.col,5,5
g1620.col,5,5
g1621.col,5,5
g1622.col,5,5
g1623.col,5,5
g1624.col,5,5
g1625.col,5,5
g1626.col,5,5
g1627.col,5,5
g1628.col,5,5
g1629.col,5,5
g1630.col,5,5
g1631.col,5,5
g1632.col,5,5
g1633.col,5,5
g1634.col,5,5
g1635.col,5,5
g1636.col,5,5
g1637.col,5,5
g1638.col,5,5
g1639.col,5,5
g1640.col,5,5
g1641.col,5,5
g1642.col,5,5
g1643.col,5,5
g1644.col,5,5
g1645.col,5,5
g1646.col,5,5
g1647.col,5,5
g1648.col,5,5
g1649.col,5,5
g1650.col,5,5
g1651.col,5,5
g1652.col,5,5
g1653.col,5,5
g1654.col,5,5
g1655.col,5,5
g1656.col,5,5
g1657.col,5,5
g1658.col,5,5
g1659.col,5,5
g1660.col,5,5
g1661.col,5,5
g1662.col,5,5
g1663.col,5,5
g1664.col,5,5
g1665.col,5,5
g1666.col,5,5
g1667.col,5,5
g1668.col,5,5
g1669.col,4,4
g1670.col,4,4
g1671.col,4,4
g1672.col,4,4
g1673.col,4,4
g1674.col,4,4
g1675.col,4,4
g1676.col,4,4
g1677.col,4,4
g1678.col,4,4
g1679.col,4,4
g1680.col,4,4
g1681.col,4,4
g1682.col,4,4
g1683.col,5,5
g1684.col,4,4
g1685.col,4,4
g1686.col,4,4
g1687.col,4,4
g1688.col,4,4
g1689.col,4,4
g1690.col,4,4
g1691.col,4,4
g1692.col,4,4
g1693.col,4,4
g1694.col,4,4
g1695.col,4,4
g1696.col,4,4
g1697.col,4,4
g1698.col,4,4
g1699.col,4,4
g1700.col,4,4
g1701.col,4,4
g1702.col,4,4
g1703.col,4,4
g1704.col,4,4
g1705.col,4,4
g1706.col,4,4
g1707.col,4,4
g1708.col,4,4
g1709.col,4,4
g1710.col,4,4
g1711.col,4,4
g1712.col,4,4
g1713.col,4,4
g1714.col,4,4
g1715.col,4,4
g1716.col,4,4
g1717.col,4,4
g1718.col,4,4
g1719.col,4,4
g1720.col,4,4
g1721.col,4,4
g1722.col,4,4
g1723.col,4,4
g1724.col,4,4
g1725.col,4,4
g1726.col,4,4
g1727.col,4,4
g1728.col,4,4
g1729.col,4,4
g1730.col,4,4
g1731.col,4,4
g1732.col,4,4
g1733.col,4,4
g1734.col,4,4
g1735.col,4,4
g1736.col,4,4
g1737.col,4,4
g1738.col,4,4
g1739.col,4,4
g1740.col,4,4
g1741.col,4,4
g1742.col,4,4
g1743.col,4,4
g1744.col,4,4
g1745.col,4,4
g1746.col,4,4
g1747.col,4,4
g1748.col,4,4
g1749.col,4,4
g1750.col,4,4
g1751.col,4,4
g1752.col,4,4
g1753.col,4,4
g1754.col,4,4
g1755.col,4,4
g1756.col,4,4
g1757.col,4,4
g1758.col,4,4
g1759.col,4,4
g1760.col,4,4
g1761.col,4,4
g1762.col,4,4
g1763.col,4,4
g1764.col,4,4
g1765.col,4,4
g1766.col,4,4
g1767.col,4,4
g1768.col,4,4
g1769.col,4,4
g1770.col,4,4
g1771.col,4,4
g1772.col,4,4
g1773.col,4,4
g1774.col,4,4
g1775.col,4,4
g1776.col,4,4
g1777.col,4,4
g1778.col,4,4
g1779.col,4,4
g1780.col,4,4
g1781.col,4,4
g1782.col,4,4
g1783.col,4,4
g1784.col,4,4
g1785.col,4,4
g1786.col,4,4
g1787.col,4,4
g1788.col,4,4
g1789.col,4,4
g1790.col,4,4
g1791.col,4,4
g1792.col,4,4
g1793.col,4,4
g1794.col,4,4
g1795.col,4,4
g1796.col,4,4
g1797.col,4,4
g1798.col,4,4
g1799.col,4,4
g1800.col,4,4
g1801.col,4,4
g1802.col,4,4
g1803.col,4,4
g1804.col,4,4
g1805.col,4,4
g1806.col,4,4
g1807.col,4,4
g1808.col,4,4
g1809.col,4,4
g1810.col,4,4
g1811.col,4,4
g1812.col,4,4
g1813.col,4,4
g1814.col,4,4
g1815.col,4,4
g1816.col,4,4
g1817.col,4,4
g1818.col,4,4
g1819.col,3,3
g1820.col,4,4
g1821.col,4,4
g1822.col,4,4
g1823.col,4,4
g1824.col,4,4
g1825.col,4,4
g1826.col,4,4
g1827.col,4,4
g1828.col,4,4
g1829.col,4,4
g1830.col,4,4
g1831.col,4,4
g1832.col,3,3
g1833.col,4,4
g1834.col,4,4
g1835.col,4,4
g1836.col,4,4
g1837.col,4,4
g1838.col,4,4
g1839.col,4,4
g1840.col,4,4
g1841.col,4,4
g1842.col,4,4
g1843.col,4,4
g1844.col,4,4
g1845.col,4,4
g1846.col,4,4
g1847.col,4,4
g1848.col,4,4
g1849.col,4,4
g1850.col,4,4
g1851.col,4,4
g1852.col,4,4
g1853.col,4,4
g1854.col,4,4
g1855.col,4,4
g1856.col,4,4
g1857.col,4,4
g1858.col,4,4
g1859.col,4,4
g1860.col,4,4
g1861.col,4,4
g1862.col,4,4
g1863.col,4,4
g1864.col,4,4
g1865.col,4,4
g1866.col,4,4
g1867.col,4,4
g1868.col,4,4
g1869.col,3,3
g1870.col,3,3
g1871.col,3,3
g1872.col,3,3
g1873.col,4,4
g1874.col,3,3
g1875.col,4,4
g1876.col,4,4
g1877.col,3,3
g1878.col,3,3
g1879.col,3,3
g1880.col,3,3
g1881.col,3,3
g1882.col,3,3
g1883.col,3,3
g1884.col,3,3
g1885.col,3,3
g1886.col,3,3
g1887.col,3,3
g1888.col,3,3
g1889.col,3,3
g1890.col,3,3
g1891.col,3,3
g1892.col,3,3
g1893.col,3,3
g1894.col,3,3
g1895.col,3,3
g1896.col,3,3
g1897.col,3,3
g1898.col,3,3
g1899.col,3,3
g1900.col,3,3
g1901.col,3,3
g1902.col,3,3
g1903.col,3,3
g1904.col,3,3
g1905.col,3,3
g1906.col,3,3
g1907.col,3,3
g1908.col,3,3
g1909.col,3,3
g1910.col,4,4
g1911.col,3,3
g1912.col,4,4
g1913.col,3,3
g1914.col,3,3
g1915.col,3,3
g1916.col,3,3
g1917.col,4,4
g1918.col,4,4
g1919.col,3,3
g1920.col,3,3
g1921.col,3,3
g1922.col,3,3
g1923.col,3,3
g1924.col,3,3
g1925.col,3,3
g1926.col,3,3
g1927.col,3,3
g1928.col,3,3
g1929.col,3,3
g1930.col,3,3
g1931.col,3,3
g1932.col,3,3
g1933.col,3,3
g1934.col,3,3
g1935.col,3,3
g1936.col,3,3
g1937.col,3,3
g1938.col,3,3
g1939.col,3,3
g1940.col,3,3
g1941.col,3,3
g1942.col,3,3
g1943.col,3,3
g1944.col,3,3
g1945.col,3,3
g1946.col,3,3
g1947.col,3,3
g1948.col,3,3
g1949.col,3,3
g1950.col,3,3
g1951.col,3,3
g1952.col,3,3
g1953.col,3,3
g1954.col,3,3
g1955.col,3,3
g1956.col,3,3
g1957.col,3,3
g1958.col,3,3
g1959.col,3,3
g1960.col,3,3
g1961.col,3,3
g1962.col,3,3
g1963.col,3,3
g1964.col,3,3
g1965.col,3,3
g1966.col,3,3
g1967.col,3,3
g1968.col,3,3
g1969.col,3,3
g1970.col,3,3
g1971.col,3,3
g1972.col,3,3
g1973.col,3,3
g1974.col,3,3
g1975.col,3,3
g1976.col,3,3
g1977.col,3,3
g1978.col,3,3
g1979.col,3,3
g1980.col,3,3
g1981.col,3,3
g1982.col,3,3
g1983.col,3,3
g1984.col,3,3
g1985.col,3,3
g1986.col,3,3
g1987.col,3,3
g1988.col,3,3
g1989.col,3,3
g1990.col,3,3
g1991.col,3,3
g1992.col,3,3
g1993.col,3,3
g1994.col,3,3
g1995.col,3,3
g1996.col,3,3
g1997.col,4,4
g1998.col,4,4
g1999.col,3,3
g2000.col,3,3
g2001.col,3,3
g2002.col,3,3
g2003.col,3,3
g2004.col,3,3
g2005.col,3,3
g2006.col,3,3
g2007.col,3,3
g2008.col,3,3
g2009.col,3,3
g2010.col,3,3
g2011.col,4,4
g2012.col,4,4
g2013.col,3,3
g2014.col,3,3
g2015.col,3,3
g2016.col,3,3
g2017.col,3,3
g2018.col,4,4
g2019.col,3,3
g2020.col,3,3
g2021.col,3,3
g2022.col,3,3
g2023.col,3,3
g2024.col,4,4
g2025.col,4,4
g2026.col,3,3
g2027.col,3,3
g2028.col,3,3
g2029.col,3,3
g2030.col,3,3
g2031.col,3,3
g2032.col,3,3
g2033.col,3,3
g2034.col,3,3
g2035.col,3,3
g2036.col,4,4
g2037.col,4,4
g2038.col,4,4
g2039.col,4,4
g2040.col,4,4
g2041.col,4,4
g2042.col,3,3
g2043.col,3,3
g2044.col,3,3
g2045.col,3,3
g2046.col,3,3
g2047.col,3,3
g2048.col,3,3
g2049.col,3,3
g2050.col,3,3
g2051.col,4,4
g2052.col,4,4
g2053.col,4,4
g2054.col,4,4
g2055.col,4,4
g2056.col,4,4
g2057.col,4,4
g2058.col,4,4
g2059.col,4,4
g2060.col,4,4
g2061.col,4,4
g2062.col,4,4
g2063.col,4,4
g2064.col,3,3
g2065.col,3,3
g2066.col,3,3
g2067.col,3,3
g2068.col,3,3
g2069.col,3,3
g2070.col,3,3
g2071.col,3,3
g2072.col,3,3
g2073.col,3,3
g2074.col,3,3
g2075.col,3,3
g2076.col,3,3
g2077.col,3,3
g2078.col,3,3
g2079.col,4,4
g2080.col,3,3
g2081.col,3,3
g2082.col,3,3
g2083.col,4,4
g2084.col,4,4
g2085.col,3,3
g2086.col,4,4
g2087.col,4,4
g2088.col,4,4
g2089.col,4,4
g2090.col,4,4
g2091.col,3,3
g2092.col,3,3
g2093.col,4,4
g2094.col,4,4
g2095.col,3,3
g2096.col,3,3
g2097.col,3,3
g2098.col,3,3
g2099.col,3,3
g2100.col,4,4
g2101.col,4,4
g2102.col,4,4
g2103.col,4,4
g2104.col,4,4
g2105.col,4,4
g2106.col,4,4
g2107.col,3,3
g2108.col,4,4
g2109.col,3,3
g2110.col,3,3
g2111.col,3,3
g2112.col,3,3
g2113.col,3,3
g2114.col,3,3
g2115.col,3,3
g2116.col,3,3
g2117.col,3,3
g2118.col,3,3
g2119.col,3,3
g2120.col,3,3
g2121.col,3,3
g2122.col,3,3
g2123.col,3,3
g2124.col,3,3
g2125.col,3,3
g2126.col,3,3
g2127.col,4,4
g2128.col,4,4
g2129.col,4,4
g2130.col,4,4
g2131.col,4,4
g2132.col,3,3
g2133.col,3,3
g2134.col,3,3
g2135.col,3,3
g2136.col,3,3
g2137.col,3,3
g2138.col,3,3
g2139.col,3,3
g2140.col,3,3
g2141.col,3,3
g2142.col,3,3
g2143.col,3,3
g2144.col,4,4
g2145.col,4,4
g2146.col,3,3
g2147.col,4,4
g2148.col,3,3
g2149.col,4,4
g2150.col,4,4
g2151.col,4,4
g2152.col,4,4
g2153.col,3,3
g2154.col,3,3
g2155.col,3,3
g2156.col,3,3
g2157.col,3,3
g2158.col,3,3
g2159.col,3,3
g2160.col,3,3
g2161.col,3,3
g2162.col,3,3
g2163.col,3,3
g2164.col,4,4
g2165.col,3,3
g2166.col,4,4
g2167.col,4,4
g2168.col,4,4
g2169.col,2,2
g2170.col,2,2
g2171.col,3,3
g2172.col,2,2
g2173.col,2,2
g2174.col,2,2
g2175.col,2,2
g2176.col,2,2
g2177.col,2,2
g2178.col,2,2
g2179.col,3,3
g2180.col,3,3
g2181.col,3,3
g2182.col,3,3
g2183.col,3,3
g2184.col,3,3
g2185.col,3,3
g2186.col,3,3
g2187.col,3,3
g2188.col,3,3
g2189.col,3,3
g2190.col,3,3
g2191.col,3,3
g2192.col,2,2
g2193.col,2,2
g2194.col,2,2
g2195.col,2,2
g2196.col,2,2
g2197.col,2,2
g2198.col,3,3
g2199.col,3,3
g2200.col,3,3
g2201.col,3,3
g2202.col,3,3
g2203.col,3,3
g2204.col,3,3
g2205.col,3,3
g2206.col,3,3
g2207.col,3,3
g2208.col,3,3
g2209.col,3,3
g2210.col,3,3
g2211.col,3,3
g2212.col,3,3
g2213.col,3,3
g2214.col,2,2
g2215.col,3,3
g2216.col,3,3
g2217.col,3,3
g2218.col,3,3
g2219.col,3,3
g2220.col,3,3
g2221.col,3,3
g2222.col,3,3
g2223.col,3,3
g2224.col,3,3
g2225.col,3,3
g2226.col,3,3
g2227.col,3,3
g2228.col,3,3
g2229.col,3,3
g2230.col,3,3
g2231.col,3,3
g2232.col,3,3
g2233.col,3,3
g2234.col,3,3
g2235.col,3,3
g2236.col,3,3
g2237.col,3,3
g2238.col,3,3
g2239.col,3,3
g2240.col,3,3
g2241.col,3,3
g2242.col,3,3
g2243.col,3,3
g2244.col,3,3
g2245.col,3,3
g2246.col,3,3
g2247.col,3,3
g2248.col,3,3
g2249.col,3,3
g2250.col,3,3
g2251.col,3,3
g2252.col,3,3
g2253.col,3,3
g2254.col,3,3
g2255.col,3,3
g2256.col,3,3
g2257.col,3,3
g2258.col,3,3
g2259.col,3,3
g2260.col,3,3
g2261.col,3,3
g2262.col,3,3
g2263.col,3,3
g2264.col,3,3
g2265.col,3,3
g2266.col,3,3
g2267.col,3,3
g2268.col,3,3
g2269.col,3,3
g2270.col,3,3
g2271.col,4,4
g2272.col,3,3
g2273.col,4,4
g2274.col,3,3
g2275.col,3,3
g2276.col,3,3
g2277.col,3,3
g2278.col,3,3
g2279.col,3,3
g2280.col,4,4
g2281.col,4,4
g2282.col,4,4
g2283.col,4,4
g2284.col,3,3
g2285.col,3,3
g2286.col,3,3
g2287.col,4,4
g2288.col,4,4
g2289.col,4,4
g2290.col,3,3
g2291.col,3,3
g2292.col,3,3
g2293.col,4,4
g2294.col,3,3
g2295.col,4,4
g2296.col,3,3
g2297.col,3,3
g2298.col,3,3
g2299.col,3,3
g2300.col,3,3
g2301.col,3,3
g2302.col,3,3
g2303.col,3,3
g2304.col,3,3
g2305.col,3,3
g2306.col,3,3
g2307.col,3,3
g2308.col,3,3
g2309.col,3,3
g2310.col,3,3
g2311.col,3,3
g2312.col,3,3
g2313.col,3,3
g2314.col,3,3
g2315.col,3,3
g2316.col,3,3
g2317.col,3,3
g2318.col,3,3
g2319.col,3,3
g2320.col,3,3
g2321.col,3,3
g2322.col,3,3
g2323.col,3,3
g2324.col,3,3
g2325.col,3,3
g2326.col,3,3
g2327.col,3,3
g2328.col,3,3
g2329.col,3,3
g2330.col,3,3
g2331.col,3,3
g2332.col,3,3
g2333.col,3,3
g2334.col,3,3
g2335.col,3,3
g2336.col,3,3
g2337.col,3,3
g2338.col,3,3
g2339.col,3,3
g2340.col,3,3
g2341.col,3,3
g2342.col,3,3
g2343.col,3,3
g2344.col,3,3
g2345.col,3,3
g2346.col,3,3
g2347.col,3,3
g2348.col,3,3
g2349.col,3,3
g2350.col,3,3
g2351.col,3,3
g2352.col,3,3
g2353.col,3,3
g2354.col,3,3
g2355.col,3,3
g2356.col,3,3
g2357.col,3,3
g2358.col,3,3
g2359.col,3,3
g2360.col,3,3
g2361.col,3,3
g2362.col,3,3
g2363.col,3,3
g2364.col,3,3
g2365.col,3,3
g2366.col,3,3
g2367.col,3,3
g2368.col,3,3
g2369.col,2,2
g2370.col,2,2
g2371.col,2,2
g2372.col,2,2
g2373.col,2,2
g2374.col,2,2
g2375.col,2,2
g2376.col,2,2
g2377.col,2,2
g2378.col,2,2
g2379.col,2,2
g2380.col,2,2
g2381.col,2,2
g2382.col,2,2
g2383.col,2,2
g2384.col,2,2
g2385.col,2,2
g2386.col,2,2
g2387.col,2,2
g2388.col,2,2
g2389.col,2,2
g2390.col,2,2
g2391.col,2,2
g2392.col,2,2
g2393.col,2,2
g2394.col,2,2
g2395.col,2,2
g2396.col,2,2
g2397.col,2,2
g2398.col,2,2
g2399.col,2,2
g2400.col,2,2
g2401.col,2,2
g2402.col,2,2
g2403.col,2,2
g2404.col,2,2
g2405.col,2,2
g2406.col,2,2
g2407.col,2,2
g2408.col,3,3
g2409.col,2,2
g2410.col,2,2
g2411.col,2,2
g2412.col,2,2
g2413.col,2,2
g2414.col,2,2
g2415.col,2,2
g2416.col,2,2
g2417.col,2,2
g2418.col,2,2
g2419.col,2,2
g2420.col,2,2
g2421.col,2,2
g2422.col,2,2
g2423.col,2,2
g2424.col,2,2
g2425.col,2,2
g2426.col,2,2
g2427.col,2,2
g2428.col,2,2
g2429.col,2,2
g2430.col,2,2
g2431.col,2,2
g2432.col,2,2
g2433.col,2,2
g2434.col,2,2
g2435.col,2,2
g2436.col,2,2
g2437.col,2,2
g2438.col,2,2
g2439.col,2,2
g2440.col,2,2
g2441.col,2,2
g2442.col,3,3
g2443.col,3,3
g2444.col,3,3
g2445.col,3,3
g2446.col,3,3
g2447.col,3,3
g2448.col,3,3
g2449.col,3,3
g2450.col,3,3
g2451.col,3,3
g2452.col,3,3
g2453.col,3,3
g2454.col,3,3
g2455.col,3,3
g2456.col,3,3
g2457.col,3,3
g2458.col,3,3
g2459.col,3,3
g2460.col,3,3
g2461.col,3,3
g2462.col,3,3
g2463.col,3,3
g2464.col,2,2
g2465.col,2,2
g2466.col,3,3
g2467.col,3,3
g2468.col,3,3
g2469.col,2,2
g2470.col,2,2
g2471.col,2,2
g2472.col,2,2
g2473.col,2,2
g2474.col,2,2
g2475.col,2,2
g2476.col,2,2
g2477.col,2,2
g2478.col,2,2
g2479.col,3,3
g2480.col,2,2
g2481.col,2,2
g2482.col,2,2
g2483.col,2,2
g2484.col,2,2
g2485.col,2,2
g2486.col,2,2
g2487.col,2,2
g2488.col,2,2
g2489.col,2,2
g2490.col,3,3
g2491.col,2,2
g2492.col,2,2
g2493.col,2,2
g2494.col,2,2
g2495.col,2,2
g2496.col,2,2
g2497.col,2,2
g2498.col,2,2
g2499.col,2,2
g2500.col,2,2
g2501.col,3,3
g2502.col,3,3
g2503.col,3,3
g2504.col,3,3
g2505.col,3,3
g2506.col,3,3
g2507.col,3,3
g2508.col,3,3
g2509.col,3,3
g2510.col,3,3
g2511.col,3,3
g2512.col,3,3
g2513.col,3,3
g2514.col,3,3
g2515.col,3,3
g2516.col,3,3
g2517.col,3,3
g2518.col,2,2
g2519.col,2,2
g2520.col,2,2
g2521.col,2,2
g2522.col,2,2
g2523.col,2,2
g2524.col,2,2
g2525.col,2,2
g2526.col,2,2
g2527.col,2,2
g2528.col,2,2
g2529.col,2,2
g2530.col,2,2
g2531.col,2,2
g2532.col,2,2
g2533.col,2,2
g2534.col,2,2
g2535.col,2,2
g2536.col,2,2
g2537.col,3,3
g2538.col,2,2
g2539.col,2,2
g2540.col,2,2
g2541.col,2,2
g2542.col,2,2
g2543.col,2,2
g2544.col,2,2
g2545.col,2,2
g2546.col,3,3
g2547.col,3,3
g2548.col,3,3
g2549.col,3,3
g2550.col,3,3
g2551.col,2,2
g2552.col,3,3
g2553.col,3,3
g2554.col,2,2
g2555.col,2,2
g2556.col,3,3
g2557.col,3,3
g2558.col,3,3
g2559.col,3,3
g2560.col,2,2
g2561.col,3,3
g2562.col,3,3
g2563.col,2,2
g2564.col,3,3
g2565.col,3,3
g2566.col,2,2
g2567.col,3,3
g2568.col,2,2
g2569.col,2,2
g2570.col,2,2
g2571.col,2,2
g2572.col,2,2
g2573.col,2,2
g2574.col,2,2
g2575.col,2,2
g2576.col,2,2
g2577.col,2,2
g2578.col,2,2
g2579.col,2,2
g2580.col,2,2
g2581.col,2,2
g2582.col,2,2
g2583.col,2,2
g2584.col,2,2
g2585.col,2,2
g2586.col,2,2
g2587.col,2,2
g2588.col,2,2
g2589.col,2,2
g2590.col,2,2
g2591.col,2,2
g2592.col,2,2
g2593.col,2,2
g2594.col,2,2
g2595.col,2,2
g2596.col,2,2
g2597.col,2,2
g2598.col,2,2
g2599.col,2,2
g2600.col,2,2
g2601.col,2,2
g2602.col,2,2
g2603.col,2,2
g2604.col,2,2
g2605.col,2,2
g2606.col,2,2
g2607.col,2,2
g2608.col,2,2
g2609.col,2,2
g2610.col,2,2
g2611.col,2,2
g2612.col,2,2
g2613.col,2,2
g2614.col,2,2
g2615.col,2,2
g2616.col,2,2
g2617.col,2,2
g2618.col,2,2
g2619.col,2,2
g2620.col,2,2
g2621.col,2,2
g2622.col,2,2
g2623.col,2,2
g2624.col,2,2
g2625.col,2,2
g2626.col,2,2
g2627.col,2,2
g2628.col,2,2
g2629.col,2,2
g2630.col,2,2
g2631.col,2,2
g2632.col,2,2
g2633.col,2,2
g2634.col,2,2
g2635.col,2,2
g2636.col,2,2
g2637.col,2,2
g2638.col,2,2
g2639.col,2,2
g2640.col,2,2
g2641.col,2,2
g2642.col,2,2
g2643.col,2,2
g2644.col,2,2
g2645.col,2,2
g2646.col,2,2
g2647.col,2,2
g2648.col,2,2
g2649.col,2,2
g2650.col,2,2
g2651.col,2,2
g2652.col,2,2
g2653.col,2,2
g2654.col,2,2
g2655.col,2,2
g2656.col,2,2
g2657.col,2,2
g2658.col,2,2
g2659.col,2,2
g2660.col,2,2
g2661.col,2,2
g2662.col,2,2
g2663.col,2,2
g2664.col,2,2
g2665.col,2,2
g2666.col,2,2
g2667.col,2,2
g2668.col,2,2
g2669.col,2,2
g2670.col,2,2
g2671.col,2,2
g2672.col,2,2
g2673.col,2,2
g2674.col,2,2
g2675.col,2,2
g2676.col,2,2
g2677.col,2,2
g2678.col,2,2
g2679.col,2,2
g2680.col,3,3
g2681.col,2,2
g2682.col,2,2
g2683.col,2,2
g2684.col,2,2
g2685.col,2,2
g2686.col,2,2
g2687.col,2,2
g2688.col,2,2
g2689.col,2,2
g2690.col,3,3
g2691.col,2,2
g2692.col,2,2
g2693.col,2,2
g2694.col,2,2
g2695.col,2,2
g2696.col,3,3
g2697.col,2,2
g2698.col,2,2
g2699.col,3,3
g2700.col,2,2
g2701.col,3,3
g2702.col,3,3
g2703.col,2,2
g2704.col,2,2
g2705.col,2,2
g2706.col,2,2
g2707.col,2,2
g2708.col,2,2
g2709.col,2,2
g2710.col,2,2
g2711.col,2,2
