instance,nodes,edges,density,min_deg,max_deg,components,components_complement,source,algebraic_connectivity,energy,matilda_maxis,matilda_dsatur,lb,ub
g2496.col,100.0,1806.0,0.364848,8.0,76.0,1.0,1.0,matilda,7.9793,0.92094,2.0,2.0,2,2
g2497.col,100.0,1806.0,0.364848,8.0,76.0,1.0,1.0,matilda,7.9793,0.92094,2.0,2.0,2,2
g2498.col,100.0,1806.0,0.364848,8.0,76.0,1.0,1.0,matilda,7.9793,0.92094,2.0,2.0,2,2
g2499.col,100.0,1806.0,0.364848,8.0,76.0,1.0,1.0,matilda,7.9793,0.92094,2.0,2.0,2,2
g2500.col,100.0,1803.0,0.364242,7.0,76.0,1.0,1.0,matilda,6.9812,0.92728,2.0,2.0,2,2
g2501.col,100.0,1806.0,0.364848,8.0,76.0,1.0,1.0,matilda,7.9331,0.9235,3.0,3.0,3,3
g2502.col,100.0,1806.0,0.364848,8.0,76.0,1.0,1.0,matilda,7.9331,0.9235,3.0,3.0,3,3
g2503.col,100.0,1806.0,0.364848,8.0,76.0,1.0,1.0,matilda,7.9331,0.9235,3.0,3.0,3,3
g2504.col,100.0,1806.0,0.364848,8.0,76.0,1.0,1.0,matilda,7.9331,0.9235,3.0,3.0,3,3
g2505.col,100.0,1806.0,0.364848,8.0,76.0,1.0,1.0,matilda,7.9331,0.9235,3.0,3.0,3,3
g2506.col,100.0,1806.0,0.364848,8.0,76.0,1.0,1.0,matilda,7.9331,0.9235,3.0,3.0,3,3
g2507.col,100.0,1806.0,0.364848,8.0,76.0,1.0,1.0,matilda,7.9331,0.9235,3.0,3.0,3,3
g2508.col,100.0,1806.0,0.364848,8.0,76.0,1.0,1.0,matilda,7.9331,0.9235,3.0,3.0,3,3
g2509.col,100.0,1806.0,0.364848,8.0,76.0,1.0,1.0,matilda,7.9331,0.9235,3.0,3.0,3,3
g2510.col,100.0,1806.0,0.364848,8.0,76.0,1.0,1.0,matilda,7.9331,0.9235,3.0,3.0,3,3
g2511.col,100.0,1806.0,0.364848,8.0,76.0,1.0,1.0,matilda,7.9331,0.9235,3.0,3.0,3,3
g2512.col,100.0,1804.0,0.364444,6.0,76.0,1.0,1.0,matilda,5.9437,0.9191,3.0,3.0,3,3
g2513.col,100.0,1806.0,0.364848,8.0,76.0,1.0,1.0,matilda,7.8888,0.92549,3.0,3.0,3,3
g2514.col,100.0,1806.0,0.364848,8.0,76.0,1.0,1.0,matilda,7.8888,0.92549,3.0,3.0,3,3
g2515.col,100.0,1806.0,0.364848,8.0,76.0,1.0,1.0,matilda,7.8888,0.92549,3.0,3.0,3,3
g2516.col,100.0,1806.0,0.364848,8.0,76.0,1.0,1.0,matilda,7.8888,0.92549,3.0,3.0,3,3
g2517.col,100.0,1805.0,0.364646,7.0,76.0,1.0,1.0,matilda,6.9811,0.93001,3.0,3.0,3,3
g2518.col,100.0,1805.0,0.364646,8.0,76.0,1.0,1.0,matilda,7.9793,0.92552,2.0,2.0,2,2
g2519.col,100.0,1803.0,0.364242,5.0,76.0,1.0,1.0,matilda,4.9858,0.91438,2.0,2.0,2,2
g2520.col,100.0,1803.0,0.364242,5.0,76.0,1.0,1.0,matilda,4.9858,0.91438,2.0,2.0,2,2
g2521.col,100.0,1803.0,0.364242,5.0,76.0,1.0,1.0,matilda,4.9858,0.91438,2.0,2.0,2,2
g2522.col,100.0,1803.0,0.364242,5.0,76.0,1.0,1.0,matilda,4.9858,0.91438,2.0,2.0,2,2
g2523.col,100.0,1803.0,0.364242,5.0,76.0,1.0,1.0,matilda,4.9858,0.91438,2.0,2.0,2,2
g2524.col,100.0,1802.0,0.36404,4.0,76.0,1.0,1.0,matilda,3.9883,0.91108,2.0,2.0,2,2
g2525.col,100.0,1805.0,0.364646,6.0,76.0,1.0,1.0,matilda,5.9834,0.91019,2.0,2.0,2,2
g2526.col,100.0,1805.0,0.364646,6.0,76.0,1.0,1.0,matilda,5.9834,0.91019,2.0,2.0,2,2
g2527.col,100.0,1804.0,0.364444,6.0,76.0,1.0,1.0,matilda,5.9834,0.91706,2.0,2.0,2,2
g2528.col,100.0,1804.0,0.364444,6.0,76.0,1.0,1.0,matilda,5.9834,0.91706,2.0,2.0,2,2
g2529.col,100.0,1804.0,0.364444,6.0,76.0,1.0,1.0,matilda,5.9834,0.91706,2.0,2.0,2,2
g2530.col,100.0,1804.0,0.364444,6.0,76.0,1.0,1.0,matilda,5.9834,0.91706,2.0,2.0,2,2
g2531.col,100.0,1804.0,0.364444,6.0,76.0,1.0,1.0,matilda,5.9834,0.91706,2.0,2.0,2,2
g2532.col,100.0,1804.0,0.364444,6.0,76.0,1.0,1.0,matilda,5.9834,0.91706,2.0,2.0,2,2
g2533.col,100.0,1804.0,0.364444,6.0,76.0,1.0,1.0,matilda,5.9834,0.91706,2.0,2.0,2,2
g2534.col,100.0,1804.0,0.364444,6.0,76.0,1.0,1.0,matilda,5.9834,0.91706,2.0,2.0,2,2
g2535.col,100.0,1804.0,0.364444,6.0,76.0,1.0,1.0,matilda,5.9834,0.91706,2.0,2.0,2,2
g2536.col,100.0,1804.0,0.364444,6.0,76.0,1.0,1.0,matilda,5.9832,0.91708,2.0,2.0,2,2
g2537.col,100.0,1804.0,0.364444,6.0,76.0,1.0,1.0,matilda,5.9437,0.9191,3.0,3.0,3,3
g2538.col,100.0,1802.0,0.36404,5.0,76.0,1.0,1.0,matilda,4.9856,0.93226,2.0,2.0,2,2
g2539.col,100.0,1802.0,0.36404,5.0,76.0,1.0,1.0,matilda,4.9856,0.93226,2.0,2.0,2,2
g2540.col,100.0,1802.0,0.36404,5.0,76.0,1.0,1.0,matilda,4.9856,0.93226,2.0,2.0,2,2
g2541.col,100.0,1802.0,0.36404,5.0,76.0,1.0,1.0,matilda,4.9856,0.93226,2.0,2.0,2,2
g2542.col,100.0,1802.0,0.36404,5.0,76.0,1.0,1.0,matilda,4.9856,0.93226,2.0,2.0,2,2
g2543.col,100.0,1802.0,0.36404,5.0,76.0,1.0,1.0,matilda,4.9856,0.93226,2.0,2.0,2,2
g2544.col,100.0,1803.0,0.364242,6.0,76.0,1.0,1.0,matilda,5.9832,0.92216,2.0,2.0,2,2
g2545.col,100.0,1803.0,0.364242,6.0,76.0,1.0,1.0,matilda,5.9832,0.92216,2.0,2.0,2,2
g2546.col,100.0,1804.0,0.364444,5.0,76.0,1.0,1.0,matilda,4.9858,0.93412,3.0,3.0,3,3
g2547.col,100.0,1804.0,0.364444,5.0,76.0,1.0,1.0,matilda,4.9858,0.93412,3.0,3.0,3,3
g2548.col,100.0,1804.0,0.364444,5.0,76.0,1.0,1.0,matilda,4.9858,0.93412,3.0,3.0,3,3
g2549.col,100.0,1804.0,0.364444,5.0,76.0,1.0,1.0,matilda,4.9858,0.93412,3.0,3.0,3,3
g2550.col,100.0,1804.0,0.364444,5.0,76.0,1.0,1.0,matilda,4.9858,0.93412,3.0,3.0,3,3
g2551.col,100.0,1801.0,0.363838,4.0,76.0,1.0,1.0,matilda,3.9881,0.92861,2.0,2.0,2,2
g2552.col,100.0,1805.0,0.364646,6.0,76.0,1.0,1.0,matilda,5.9834,0.9236,3.0,3.0,3,3
g2553.col,100.0,1805.0,0.364646,6.0,76.0,1.0,1.0,matilda,5.9834,0.9236,3.0,3.0,3,3
g2554.col,100.0,1801.0,0.363838,5.0,76.0,1.0,1.0,matilda,4.9856,0.937,2.0,2.0,2,2
g2555.col,100.0,1801.0,0.363838,5.0,76.0,1.0,1.0,matilda,4.9856,0.937,2.0,2.0,2,2
g2556.col,100.0,1803.0,0.364242,4.0,76.0,1.0,1.0,matilda,3.9883,0.93081,3.0,3.0,3,3
g2557.col,100.0,1803.0,0.364242,4.0,76.0,1.0,1.0,matilda,3.9883,0.93081,3.0,3.0,3,3
g2558.col,100.0,1803.0,0.364242,4.0,76.0,1.0,1.0,matilda,3.9883,0.93081,3.0,3.0,3,3
g2559.col,100.0,1803.0,0.364242,4.0,76.0,1.0,1.0,matilda,3.9883,0.93081,3.0,3.0,3,3
g2560.col,100.0,1799.0,0.363434,5.0,76.0,1.0,1.0,matilda,4.9848,0.93865,2.0,2.0,2,2
g2561.col,100.0,1805.0,0.364646,5.0,76.0,1.0,1.0,matilda,4.9858,0.94211,3.0,3.0,3,3
g2562.col,100.0,1806.0,0.364848,5.0,79.0,1.0,1.0,matilda,4.986,0.94267,3.0,3.0,3,3
g2563.col,100.0,1784.0,0.360404,5.0,76.0,1.0,1.0,matilda,4.9427,0.94557,2.0,2.0,2,2
g2564.col,100.0,1806.0,0.364848,5.0,79.0,1.0,1.0,matilda,4.9861,0.94443,3.0,3.0,3,3
g2565.col,100.0,1806.0,0.364848,5.0,79.0,1.0,1.0,matilda,4.9861,0.94443,3.0,3.0,3,3
g2566.col,100.0,1359.0,0.274545,8.0,76.0,1.0,1.0,matilda,7.1347,0.98082,2.0,2.0,2,2
g2567.col,100.0,1805.0,0.364646,6.0,77.0,1.0,1.0,matilda,5.9834,0.9344,3.0,3.0,3,3
g2568.col,100.0,1803.0,0.364242,6.0,76.0,1.0,1.0,matilda,5.9832,0.93517,2.0,2.0,2,2
g2569.col,100.0,1808.0,0.365253,10.0,76.0,1.0,1.0,matilda,9.9761,0.9232,2.0,2.0,2,2
g2570.col,100.0,1808.0,0.365253,10.0,76.0,1.0,1.0,matilda,9.9761,0.9232,2.0,2.0,2,2
g2571.col,100.0,1808.0,0.365253,10.0,76.0,1.0,1.0,matilda,9.9761,0.9232,2.0,2.0,2,2
g2572.col,100.0,1808.0,0.365253,10.0,76.0,1.0,1.0,matilda,9.9761,0.9232,2.0,2.0,2,2
g2573.col,100.0,1808.0,0.365253,10.0,76.0,1.0,1.0,matilda,9.9761,0.9232,2.0,2.0,2,2
g2574.col,100.0,1808.0,0.365253,10.0,76.0,1.0,1.0,matilda,9.9761,0.9232,2.0,2.0,2,2
g2575.col,100.0,1808.0,0.365253,10.0,76.0,1.0,1.0,matilda,9.9761,0.9232,2.0,2.0,2,2
g2576.col,100.0,1808.0,0.365253,10.0,76.0,1.0,1.0,matilda,9.9761,0.9232,2.0,2.0,2,2
g2577.col,100.0,1808.0,0.365253,10.0,76.0,1.0,1.0,matilda,9.9761,0.9232,2.0,2.0,2,2
g2578.col,100.0,1808.0,0.365253,10.0,76.0,1.0,1.0,matilda,9.9761,0.9232,2.0,2.0,2,2
g2579.col,100.0,1808.0,0.365253,10.0,76.0,1.0,1.0,matilda,9.9761,0.9232,2.0,2.0,2,2
g2580.col,100.0,1808.0,0.365253,10.0,76.0,1.0,1.0,matilda,9.9761,0.9232,2.0,2.0,2,2
g2581.col,100.0,1808.0,0.365253,10.0,76.0,1.0,1.0,matilda,9.9761,0.9232,2.0,2.0,2,2
g2582.col,100.0,1808.0,0.365253,10.0,76.0,1.0,1.0,matilda,9.9761,0.9232,2.0,2.0,2,2
g2583.col,100.0,1808.0,0.365253,10.0,76.0,1.0,1.0,matilda,9.9761,0.9232,2.0,2.0,2,2
g2584.col,100.0,1808.0,0.365253,10.0,76.0,1.0,1.0,matilda,9.9761,0.9232,2.0,2.0,2,2
g2585.col,100.0,1808.0,0.365253,10.0,76.0,1.0,1.0,matilda,9.9761,0.9232,2.0,2.0,2,2
g2586.col,100.0,1808.0,0.365253,10.0,76.0,1.0,1.0,matilda,9.9761,0.9232,2.0,2.0,2,2
g2587.col,100.0,1808.0,0.365253,10.0,76.0,1.0,1.0,matilda,9.9761,0.9232,2.0,2.0,2,2
g2588.col,100.0,1808.0,0.365253,10.0,76.0,1.0,1.0,matilda,9.9759,0.92377,2.0,2.0,2,2
g2589.col,100.0,1808.0,0.365253,10.0,76.0,1.0,1.0,matilda,9.9759,0.92377,2.0,2.0,2,2
g2590.col,100.0,1807.0,0.365051,9.0,76.0,1.0,1.0,matilda,8.9776,0.92225,2.0,2.0,2,2
g2591.col,100.0,1807.0,0.365051,9.0,76.0,1.0,1.0,matilda,8.9776,0.92225,2.0,2.0,2,2
g2592.col,100.0,1807.0,0.365051,9.0,76.0,1.0,1.0,matilda,8.9776,0.92225,2.0,2.0,2,2
g2593.col,100.0,1807.0,0.365051,9.0,76.0,1.0,1.0,matilda,8.9776,0.92225,2.0,2.0,2,2
g2594.col,100.0,1807.0,0.365051,9.0,76.0,1.0,1.0,matilda,8.9776,0.92225,2.0,2.0,2,2
g2595.col,100.0,1807.0,0.365051,9.0,76.0,1.0,1.0,matilda,8.9776,0.92225,2.0,2.0,2,2
g2596.col,100.0,1807.0,0.365051,9.0,76.0,1.0,1.0,matilda,8.9776,0.92225,2.0,2.0,2,2
g2597.col,100.0,1807.0,0.365051,9.0,76.0,1.0,1.0,matilda,8.9776,0.92225,2.0,2.0,2,2
g2598.col,100.0,1807.0,0.365051,9.0,76.0,1.0,1.0,matilda,8.9776,0.92225,2.0,2.0,2,2
g2599.col,100.0,1807.0,0.365051,9.0,76.0,1.0,1.0,matilda,8.9776,0.92225,2.0,2.0,2,2
g2600.col,100.0,1807.0,0.365051,9.0,76.0,1.0,1.0,matilda,8.9776,0.92225,2.0,2.0,2,2
g2601.col,100.0,1807.0,0.365051,9.0,76.0,1.0,1.0,matilda,8.9776,0.92225,2.0,2.0,2,2
g2602.col,100.0,1807.0,0.365051,9.0,76.0,1.0,1.0,matilda,8.9776,0.92225,2.0,2.0,2,2
g2603.col,100.0,1807.0,0.365051,9.0,76.0,1.0,1.0,matilda,8.9776,0.92225,2.0,2.0,2,2
g2604.col,100.0,1807.0,0.365051,9.0,76.0,1.0,1.0,matilda,8.9776,0.92225,2.0,2.0,2,2
g2605.col,100.0,1807.0,0.365051,9.0,76.0,1.0,1.0,matilda,8.9776,0.92225,2.0,2.0,2,2
g2606.col,100.0,1807.0,0.365051,9.0,76.0,1.0,1.0,matilda,8.9776,0.92225,2.0,2.0,2,2
g2607.col,100.0,1807.0,0.365051,9.0,76.0,1.0,1.0,matilda,8.9776,0.92225,2.0,2.0,2,2
g2608.col,100.0,1807.0,0.365051,9.0,76.0,1.0,1.0,matilda,8.9776,0.92225,2.0,2.0,2,2
g2609.col,100.0,1807.0,0.365051,9.0,76.0,1.0,1.0,matilda,8.9776,0.92225,2.0,2.0,2,2
g2610.col,100.0,1807.0,0.365051,9.0,76.0,1.0,1.0,matilda,8.9776,0.92225,2.0,2.0,2,2
g2611.col,100.0,1807.0,0.365051,9.0,76.0,1.0,1.0,matilda,8.9776,0.92225,2.0,2.0,2,2
g2612.col,100.0,1807.0,0.365051,9.0,76.0,1.0,1.0,matilda,8.9776,0.92225,2.0,2.0,2,2
g2613.col,100.0,1807.0,0.365051,9.0,76.0,1.0,1.0,matilda,8.9776,0.92225,2.0,2.0,2,2
g2614.col,100.0,1807.0,0.365051,9.0,76.0,1.0,1.0,matilda,8.9776,0.92225,2.0,2.0,2,2
g2615.col,100.0,1807.0,0.365051,9.0,76.0,1.0,1.0,matilda,8.9776,0.92225,2.0,2.0,2,2
g2616.col,100.0,1807.0,0.365051,9.0,76.0,1.0,1.0,matilda,8.9776,0.92225,2.0,2.0,2,2
g2617.col,100.0,1807.0,0.365051,9.0,76.0,1.0,1.0,matilda,8.9776,0.92225,2.0,2.0,2,2
g2618.col,100.0,1807.0,0.365051,9.0,76.0,1.0,1.0,matilda,8.9774,0.9227,2.0,2.0,2,2
g2619.col,100.0,1272.0,0.25697,5.0,76.0,1.0,1.0,matilda,4.4231,0.93703,2.0,2.0,2,2
g2620.col,100.0,1291.0,0.260808,5.0,76.0,1.0,1.0,matilda,4.4523,0.94016,2.0,2.0,2,2
g2621.col,100.0,1310.0,0.264646,5.0,76.0,1.0,1.0,matilda,4.4806,0.94314,2.0,2.0,2,2
g2622.col,100.0,1271.0,0.256768,5.0,76.0,1.0,1.0,matilda,4.423,0.94272,2.0,2.0,2,2
g2623.col,100.0,1290.0,0.260606,5.0,76.0,1.0,1.0,matilda,4.4522,0.94582,2.0,2.0,2,2
g2624.col,100.0,1290.0,0.260606,5.0,76.0,1.0,1.0,matilda,4.4522,0.94582,2.0,2.0,2,2
g2625.col,100.0,1292.0,0.26101,5.0,76.0,1.0,1.0,matilda,4.4565,0.9471,2.0,2.0,2,2
g2626.col,100.0,1292.0,0.26101,5.0,76.0,1.0,1.0,matilda,4.4565,0.9471,2.0,2.0,2,2
g2627.col,100.0,1309.0,0.264444,5.0,76.0,1.0,1.0,matilda,4.4806,0.94878,2.0,2.0,2,2
g2628.col,100.0,1309.0,0.264444,5.0,76.0,1.0,1.0,matilda,4.4806,0.94878,2.0,2.0,2,2
g2629.col,100.0,1309.0,0.264444,5.0,76.0,1.0,1.0,matilda,4.4806,0.94878,2.0,2.0,2,2
g2630.col,100.0,1274.0,0.257374,5.0,76.0,1.0,1.0,matilda,4.4608,0.9496,2.0,2.0,2,2
g2631.col,100.0,1311.0,0.264848,5.0,76.0,1.0,1.0,matilda,4.4845,0.95008,2.0,2.0,2,2
g2632.col,100.0,1311.0,0.264848,5.0,76.0,1.0,1.0,matilda,4.4845,0.95008,2.0,2.0,2,2
g2633.col,100.0,1308.0,0.264242,4.0,76.0,1.0,1.0,matilda,3.9787,0.94053,2.0,2.0,2,2
g2634.col,100.0,1289.0,0.260404,4.0,76.0,1.0,1.0,matilda,3.9776,0.93756,2.0,2.0,2,2
g2635.col,100.0,1328.0,0.268283,5.0,76.0,1.0,1.0,matilda,4.508,0.9516,2.0,2.0,2,2
g2636.col,100.0,1310.0,0.264646,5.0,76.0,1.0,1.0,matilda,4.4822,0.95429,2.0,2.0,2,2
g2637.col,100.0,1310.0,0.264646,5.0,76.0,1.0,1.0,matilda,4.4822,0.95429,2.0,2.0,2,2
g2638.col,100.0,1312.0,0.265051,5.0,76.0,1.0,1.0,matilda,4.4862,0.95483,2.0,2.0,2,2
g2639.col,100.0,1254.0,0.253333,5.0,76.0,1.0,1.0,matilda,4.4125,0.95265,2.0,2.0,2,2
g2640.col,100.0,1309.0,0.264444,5.0,76.0,1.0,1.0,matilda,4.4707,0.9558,2.0,2.0,2,2
g2641.col,100.0,1347.0,0.272121,5.0,76.0,1.0,1.0,matilda,4.5347,0.95428,2.0,2.0,2,2
g2642.col,100.0,1289.0,0.260404,4.0,76.0,1.0,1.0,matilda,3.9797,0.94773,2.0,2.0,2,2
g2643.col,100.0,1289.0,0.260404,4.0,76.0,1.0,1.0,matilda,3.9797,0.94773,2.0,2.0,2,2
g2644.col,100.0,1270.0,0.256566,4.0,76.0,1.0,1.0,matilda,3.9791,0.94464,2.0,2.0,2,2
g2645.col,100.0,1308.0,0.264242,4.0,76.0,1.0,1.0,matilda,3.9802,0.95068,2.0,2.0,2,2
g2646.col,100.0,1308.0,0.264242,4.0,76.0,1.0,1.0,matilda,3.9802,0.95068,2.0,2.0,2,2
g2647.col,100.0,1309.0,0.264444,5.0,76.0,1.0,1.0,matilda,4.4991,0.96065,2.0,2.0,2,2
g2648.col,100.0,1253.0,0.253131,5.0,76.0,1.0,1.0,matilda,4.4124,0.95835,2.0,2.0,2,2
g2649.col,100.0,1253.0,0.253131,5.0,76.0,1.0,1.0,matilda,4.4124,0.95835,2.0,2.0,2,2
g2650.col,100.0,1253.0,0.253131,5.0,76.0,1.0,1.0,matilda,4.4124,0.95835,2.0,2.0,2,2
g2651.col,100.0,1327.0,0.268081,4.0,76.0,1.0,1.0,matilda,3.9807,0.95349,2.0,2.0,2,2
g2652.col,100.0,1327.0,0.268081,4.0,76.0,1.0,1.0,matilda,3.9807,0.95349,2.0,2.0,2,2
g2653.col,100.0,1255.0,0.253535,5.0,76.0,1.0,1.0,matilda,4.417,0.95959,2.0,2.0,2,2
g2654.col,100.0,1272.0,0.25697,5.0,76.0,1.0,1.0,matilda,4.4423,0.96158,2.0,2.0,2,2
g2655.col,100.0,1272.0,0.25697,5.0,76.0,1.0,1.0,matilda,4.4423,0.96158,2.0,2.0,2,2
g2656.col,100.0,1272.0,0.25697,5.0,76.0,1.0,1.0,matilda,4.4423,0.96158,2.0,2.0,2,2
g2657.col,100.0,1272.0,0.25697,5.0,76.0,1.0,1.0,matilda,4.4423,0.96158,2.0,2.0,2,2
g2658.col,100.0,1272.0,0.25697,5.0,76.0,1.0,1.0,matilda,4.4423,0.96158,2.0,2.0,2,2
g2659.col,100.0,1346.0,0.271919,4.0,76.0,1.0,1.0,matilda,3.9812,0.95615,2.0,2.0,2,2
g2660.col,100.0,1346.0,0.271919,4.0,76.0,1.0,1.0,matilda,3.9812,0.95615,2.0,2.0,2,2
g2661.col,100.0,1346.0,0.271919,4.0,76.0,1.0,1.0,matilda,3.9812,0.95615,2.0,2.0,2,2
g2662.col,100.0,1364.0,0.275556,5.0,76.0,1.0,1.0,matilda,4.5426,0.95784,2.0,2.0,2,2
g2663.col,100.0,1291.0,0.260808,5.0,76.0,1.0,1.0,matilda,4.4712,0.96467,2.0,2.0,2,2
g2664.col,100.0,1291.0,0.260808,5.0,76.0,1.0,1.0,matilda,4.4712,0.96467,2.0,2.0,2,2
g2665.col,100.0,1291.0,0.260808,5.0,76.0,1.0,1.0,matilda,4.4712,0.96467,2.0,2.0,2,2
g2666.col,100.0,1291.0,0.260808,5.0,76.0,1.0,1.0,matilda,4.4712,0.96467,2.0,2.0,2,2
g2667.col,100.0,1289.0,0.260404,5.0,76.0,1.0,1.0,matilda,4.4522,0.96447,2.0,2.0,2,2
g2668.col,100.0,1291.0,0.260808,5.0,76.0,1.0,1.0,matilda,4.4493,0.96451,2.0,2.0,2,2
g2669.col,100.0,1265.0,0.255556,2.0,75.0,1.0,1.0,matilda,1.9829,0.959,2.0,2.0,2,2
g2670.col,100.0,1266.0,0.255758,3.0,76.0,1.0,1.0,matilda,2.8633,0.95831,2.0,2.0,2,2
g2671.col,100.0,1268.0,0.256162,3.0,76.0,1.0,1.0,matilda,2.8753,0.95888,2.0,2.0,2,2
g2672.col,100.0,1280.0,0.258586,3.0,76.0,1.0,1.0,matilda,2.9447,0.95577,2.0,2.0,2,2
g2673.col,100.0,1265.0,0.255556,3.0,75.0,1.0,1.0,matilda,2.8654,0.96064,2.0,2.0,2,2
g2674.col,100.0,1272.0,0.25697,3.0,76.0,1.0,1.0,matilda,2.8989,0.95921,2.0,2.0,2,2
g2675.col,100.0,1276.0,0.257778,3.0,76.0,1.0,1.0,matilda,2.922,0.95829,2.0,2.0,2,2
g2676.col,100.0,1274.0,0.257374,3.0,76.0,1.0,1.0,matilda,2.9105,0.95892,2.0,2.0,2,2
g2677.col,100.0,1264.0,0.255354,2.0,75.0,1.0,1.0,matilda,1.9829,0.96337,2.0,2.0,2,2
g2678.col,100.0,1265.0,0.255556,3.0,76.0,1.0,1.0,matilda,2.8601,0.96268,2.0,2.0,2,2
g2679.col,100.0,1262.0,0.254949,3.0,75.0,1.0,1.0,matilda,2.8648,0.96419,2.0,2.0,2,2
g2680.col,100.0,1271.0,0.256768,3.0,77.0,1.0,1.0,matilda,2.8818,0.96236,3.0,3.0,3,3
g2681.col,100.0,1267.0,0.25596,3.0,76.0,1.0,1.0,matilda,2.8724,0.96326,2.0,2.0,2,2
g2682.col,100.0,1285.0,0.259596,3.0,76.0,1.0,1.0,matilda,2.8646,0.96034,2.0,2.0,2,2
g2683.col,100.0,1279.0,0.258384,3.0,76.0,1.0,1.0,matilda,2.9433,0.96024,2.0,2.0,2,2
g2684.col,100.0,1269.0,0.256364,3.0,76.0,1.0,1.0,matilda,2.8845,0.96358,2.0,2.0,2,2
g2685.col,100.0,1271.0,0.256768,3.0,76.0,1.0,1.0,matilda,2.8965,0.96361,2.0,2.0,2,2
g2686.col,100.0,1275.0,0.257576,3.0,76.0,1.0,1.0,matilda,2.9201,0.96272,2.0,2.0,2,2
g2687.col,100.0,1273.0,0.257172,3.0,76.0,1.0,1.0,matilda,2.9083,0.96333,2.0,2.0,2,2
g2688.col,100.0,1287.0,0.26,3.0,76.0,1.0,1.0,matilda,2.8765,0.96104,2.0,2.0,2,2
g2689.col,100.0,1301.0,0.262828,3.0,76.0,1.0,1.0,matilda,2.9564,0.95647,2.0,2.0,2,2
g2690.col,100.0,1267.0,0.25596,2.0,76.0,1.0,1.0,matilda,1.984,0.96675,3.0,3.0,3,3
g2691.col,100.0,1291.0,0.260808,3.0,76.0,1.0,1.0,matilda,2.8999,0.96158,2.0,2.0,2,2
g2692.col,100.0,1253.0,0.253131,3.0,75.0,1.0,1.0,matilda,2.8622,0.96958,2.0,2.0,2,2
g2693.col,100.0,1265.0,0.255556,3.0,75.0,1.0,1.0,matilda,2.9383,0.96645,2.0,2.0,2,2
g2694.col,100.0,1293.0,0.261212,3.0,76.0,1.0,1.0,matilda,2.9114,0.96138,2.0,2.0,2,2
g2695.col,100.0,1295.0,0.261616,3.0,76.0,1.0,1.0,matilda,2.9228,0.96084,2.0,2.0,2,2
g2696.col,100.0,1270.0,0.256566,3.0,77.0,1.0,1.0,matilda,2.8789,0.96673,3.0,3.0,3,3
g2697.col,100.0,1254.0,0.253333,3.0,75.0,1.0,1.0,matilda,2.8629,0.97091,2.0,2.0,2,2
g2698.col,100.0,1259.0,0.254343,3.0,75.0,1.0,1.0,matilda,2.9006,0.96961,2.0,2.0,2,2
g2699.col,100.0,1282.0,0.25899,3.0,77.0,1.0,1.0,matilda,2.9461,0.96487,3.0,3.0,3,3
g2700.col,100.0,1286.0,0.259798,3.0,76.0,1.0,1.0,matilda,2.8736,0.96542,2.0,2.0,2,2
g2701.col,100.0,1290.0,0.260606,3.0,77.0,1.0,1.0,matilda,2.883,0.96453,3.0,3.0,3,3
g2702.col,100.0,1276.0,0.257778,3.0,77.0,1.0,1.0,matilda,2.9129,0.96722,3.0,3.0,3,3
g2703.col,100.0,926.0,0.187071,5.0,52.0,1.0,1.0,matilda,2.7451,0.95969,3.0,2.0,2,2
g2704.col,100.0,1298.0,0.262222,3.0,76.0,1.0,1.0,matilda,2.944,0.96295,2.0,2.0,2,2
g2705.col,100.0,1290.0,0.260606,3.0,76.0,1.0,1.0,matilda,2.8975,0.96598,2.0,2.0,2,2
g2706.col,100.0,1292.0,0.26101,3.0,76.0,1.0,1.0,matilda,2.9093,0.9658,2.0,2.0,2,2
g2707.col,100.0,1294.0,0.261414,3.0,76.0,1.0,1.0,matilda,2.921,0.96527,2.0,2.0,2,2
g2708.col,100.0,1257.0,0.253939,3.0,76.0,1.0,1.0,matilda,2.8724,0.97386,2.0,2.0,2,2
g2709.col,100.0,1306.0,0.263838,3.0,76.0,1.0,1.0,matilda,2.9892,0.96215,2.0,2.0,2,2
g2710.col,100.0,1272.0,0.25697,3.0,75.0,1.0,1.0,matilda,2.8637,0.9718,2.0,2.0,2,2
g2711.col,100.0,1214.0,0.245253,3.0,65.0,1.0,1.0,matilda,2.6091,0.9812,3.0,2.0,2,2
g2712.col,100.0,1226.0,0.247677,3.0,65.0,1.0,1.0,matilda,2.6893,0.98028,3.0,2.0,2,2
g2713.col,100.0,1277.0,0.25798,3.0,76.0,1.0,1.0,matilda,2.933,0.97022,2.0,2.0,2,2
g2714.col,100.0,1289.0,0.260404,3.0,77.0,1.0,1.0,matilda,2.8802,0.96891,3.0,3.0,3,3
g2715.col,100.0,1282.0,0.25899,3.0,76.0,1.0,1.0,matilda,2.9667,0.96901,2.0,2.0,2,2
g2716.col,100.0,1308.0,0.264242,3.0,76.0,1.0,1.0,matilda,2.9892,0.96278,3.0,3.0,3,3
g2717.col,100.0,1286.0,0.259798,3.0,76.0,1.0,1.0,matilda,2.8856,0.96984,2.0,2.0,2,2
g2718.col,100.0,1267.0,0.25596,3.0,76.0,1.0,1.0,matilda,2.8736,0.97385,2.0,2.0,2,2
g2719.col,100.0,1087.0,0.219596,0.0,54.0,21.0,1.0,matilda,0.0,0.81115,2.0,2.0,2,2
g2720.col,100.0,1093.0,0.220808,0.0,56.0,20.0,1.0,matilda,0.0,0.82008,2.0,2.0,2,2
